ID,District,Block,LandPreparationMethod,CropTillageDate,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,NursDetFactor,TransDetFactor,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,OrgFertilizers,PCropSolidOrgFertAppMethod,CropbasalFerts,MineralFertAppMethod,FirstTopDressFert,MineralFertAppMethod.1,Harv_method,Harv_date,Threshing_date,Threshing_method,Stubble_use,Yield
1342,3,1,15,41,3,21,18,111,45,0,1,0,2,7,2,9,0,0,22,22,0,1,380.0
2647,2,7,38,41,2,27,14,24,47,0,1,5,2,9,0,9,0,0,54,57,1,1,600.0
2552,3,0,18,42,3,35,33,96,99,0,0,5,2,0,0,9,0,0,17,14,0,1,180.0
3228,3,0,6,49,3,44,40,65,101,0,0,5,2,9,0,4,0,0,22,19,1,1,500.0
1973,1,4,15,28,3,37,27,18,49,1,1,5,2,0,0,9,0,0,40,67,1,1,300.0
197,3,5,9,4,3,7,6,36,78,0,1,0,2,24,0,9,0,0,45,140,0,1,600.0
1148,2,6,18,46,3,23,17,10,47,0,1,5,2,23,2,9,0,0,43,68,1,1,860.0
2309,3,0,38,45,3,56,49,4,23,0,1,6,2,9,0,9,0,0,32,25,1,1,410.0
2953,1,3,39,30,3,37,55,0,0,0,1,5,0,9,0,9,0,0,55,104,1,1,400.0
2878,1,4,15,54,3,31,27,4,47,1,1,5,2,0,0,9,0,0,48,79,1,1,300.0
3536,0,2,18,28,3,24,21,10,47,1,1,5,2,0,0,9,0,0,54,77,0,1,480.0
2496,0,2,18,44,3,28,23,36,47,0,1,5,2,0,0,9,0,0,69,93,1,1,498.0
469,0,8,33,31,3,29,28,25,47,3,1,5,2,9,0,9,0,0,56,54,0,1,1200.0
3175,1,4,15,50,2,28,26,71,143,0,0,0,2,0,0,9,0,0,76,79,0,1,900.0
1847,1,4,15,50,3,26,23,115,66,0,1,5,2,9,0,9,0,0,53,85,1,1,500.0
3660,2,6,24,47,3,21,20,10,150,0,1,5,2,9,0,9,0,1,69,57,1,1,1000.0
1467,1,4,15,46,3,27,21,48,81,1,1,0,2,9,0,9,0,0,56,84,0,1,700.0
3067,1,4,15,56,3,36,32,18,37,1,1,5,2,0,0,9,0,0,43,50,1,1,240.0
761,1,4,15,55,3,33,27,38,48,1,1,0,2,0,0,9,0,0,42,57,1,1,400.0
2745,0,2,18,54,3,31,29,10,47,0,1,5,2,0,0,9,0,0,62,85,1,1,340.0
3578,2,7,41,41,3,28,13,24,47,0,1,5,2,9,0,9,0,0,47,49,1,1,600.0
1533,1,3,16,54,3,18,31,1,34,0,1,5,0,9,0,10,0,0,58,118,0,1,800.0
1980,3,1,15,34,3,15,7,32,46,0,0,0,2,7,2,9,0,0,25,24,0,1,140.0
3351,1,3,39,26,3,37,58,0,0,0,1,5,0,9,0,9,0,0,61,104,1,1,480.0
473,0,8,33,29,3,30,27,24,47,3,1,5,2,24,0,9,0,0,63,63,0,1,1200.0
3392,1,4,15,55,3,37,35,18,47,0,1,5,2,0,0,9,0,0,45,57,1,1,340.0
2320,2,6,15,50,3,22,21,10,150,0,1,5,2,9,0,9,0,1,56,57,1,0,600.0
275,3,5,41,43,3,32,42,98,148,0,1,5,2,17,2,9,0,0,45,41,0,1,100.0
1280,3,0,41,52,3,56,52,4,23,0,1,6,2,9,0,9,0,0,32,24,1,1,300.0
2160,1,4,15,55,2,34,28,71,150,0,0,0,2,0,0,9,0,0,69,77,0,1,1300.0
3249,1,3,15,52,3,27,23,92,144,0,1,5,2,9,0,9,0,0,46,110,1,1,327.0
975,1,3,15,51,3,27,23,92,144,0,1,5,2,9,0,9,0,0,49,84,1,1,324.0
2791,3,5,9,23,3,0,10,1,46,0,1,5,2,0,0,9,0,0,41,43,0,1,140.0
372,0,2,18,49,2,32,27,1,47,0,1,20,0,0,0,9,0,0,64,85,0,1,320.0
608,3,5,15,19,3,52,31,10,78,0,1,0,2,9,0,9,0,0,39,37,0,1,400.0
2864,0,8,33,34,3,31,29,24,47,3,1,5,2,24,0,9,0,0,58,59,0,1,1050.0
1564,3,5,18,23,3,1,10,1,37,0,0,0,2,0,0,9,0,0,41,43,0,1,240.0
3624,2,7,41,43,3,24,16,24,47,0,1,5,2,0,2,4,0,0,76,113,1,1,800.0
2404,2,7,18,28,1,22,9,24,47,0,1,0,2,9,0,9,0,0,66,63,1,1,10.0
389,1,3,15,68,3,43,42,92,144,0,1,5,2,9,0,9,0,0,53,105,1,1,402.0
2215,2,6,18,39,3,19,10,10,47,0,1,5,2,23,0,9,0,1,51,38,1,1,580.0
839,1,4,15,52,3,31,27,19,47,1,1,0,2,0,0,9,0,0,44,56,1,1,450.0
752,3,5,18,23,3,2,10,1,46,0,1,0,2,0,0,9,0,0,42,44,1,1,400.0
1542,1,4,15,54,3,31,35,71,48,2,0,0,2,0,0,9,0,0,70,71,0,1,900.0
798,1,3,15,53,3,27,24,92,109,0,1,5,2,24,0,9,0,0,51,83,1,1,400.0
1820,1,3,39,73,3,40,47,0,0,0,1,5,0,0,0,0,0,0,54,110,1,1,2400.0
3798,3,5,34,27,3,30,29,3,13,0,0,5,2,0,2,9,0,0,17,14,0,1,300.0
3653,3,5,18,21,3,0,6,1,37,0,1,0,2,0,0,9,0,0,40,42,1,1,400.0
2747,3,5,9,24,3,1,10,6,10,0,1,5,2,0,0,9,0,0,43,45,0,1,350.0
1053,3,5,18,26,3,1,10,1,31,0,1,5,2,0,0,9,0,0,42,44,1,1,320.0
2001,3,0,41,53,3,32,53,32,27,0,1,5,2,9,0,9,0,0,32,25,1,1,450.0
923,2,6,15,24,3,14,5,10,23,0,1,5,0,23,0,9,0,0,32,30,1,1,540.0
749,2,7,18,28,3,13,17,111,74,3,1,5,1,9,0,4,1,0,74,77,0,1,300.0
764,1,4,15,55,3,34,33,35,48,1,1,0,2,0,0,9,0,0,47,88,1,1,800.0
1925,3,1,15,27,3,7,9,32,35,0,1,4,2,7,2,9,0,0,12,14,0,1,380.0
3701,3,5,41,46,3,48,44,98,148,0,0,29,2,17,2,9,0,0,43,38,0,1,150.0
3144,1,4,15,54,3,37,32,4,47,1,1,5,2,0,0,9,0,0,44,65,1,1,480.0
2867,2,6,18,35,3,19,8,10,5,0,1,5,2,23,0,9,0,0,37,83,1,1,630.0
2960,1,3,39,36,3,40,32,0,0,0,1,5,0,9,0,0,0,0,61,110,1,1,480.0
2449,0,8,33,28,3,29,21,42,50,0,1,0,2,9,0,9,0,0,37,44,1,1,410.0
1833,0,8,33,34,3,20,26,85,118,0,1,5,2,9,0,9,0,0,28,43,1,1,160.0
1451,2,6,18,35,3,19,10,10,35,0,1,5,2,23,0,9,0,0,40,79,1,1,840.0
2583,1,3,15,53,3,26,30,92,144,0,1,5,2,24,0,9,0,0,66,102,1,1,320.0
2688,1,3,15,54,3,29,31,92,144,0,1,5,2,9,0,9,0,0,50,81,1,1,240.0
2341,1,4,15,52,2,31,25,71,150,0,0,0,2,0,0,9,0,0,69,70,0,1,1700.0
653,3,1,6,32,3,21,13,42,118,0,0,0,2,24,2,7,0,0,30,28,0,1,1620.0
2419,2,6,15,50,3,23,28,10,150,0,1,5,2,9,0,9,0,0,54,109,1,1,810.0
3846,0,8,33,35,3,21,24,85,118,0,1,5,2,9,0,9,0,0,31,55,1,1,322.0
1483,2,7,38,42,3,23,14,24,47,0,1,5,2,9,0,9,0,0,43,45,1,1,880.0
2314,0,2,18,33,3,19,39,10,69,0,1,6,0,0,0,9,0,0,77,102,1,1,310.0
3865,2,7,41,44,3,25,15,24,47,0,1,5,2,9,2,4,0,0,85,85,1,1,1100.0
2576,0,8,33,51,3,28,22,42,50,0,1,0,2,9,0,9,0,0,36,37,1,1,400.0
2892,1,4,15,54,2,32,29,71,135,2,0,0,2,0,0,9,0,0,70,70,0,1,1300.0
3242,1,3,16,56,3,19,30,1,34,0,1,5,0,9,0,4,0,0,62,127,0,1,400.0
95,2,6,18,52,3,31,23,10,47,0,1,5,2,23,2,9,0,0,47,60,1,1,350.0
754,1,3,39,30,3,36,32,0,0,0,1,5,0,9,0,0,0,0,54,130,1,1,390.0
3042,2,7,18,27,2,20,8,98,148,0,1,0,2,9,0,9,0,0,60,59,1,1,45.0
3324,1,3,15,54,3,34,28,92,144,0,1,5,2,9,0,9,0,0,47,102,1,1,400.0
745,1,3,39,32,3,42,35,0,0,0,1,5,0,9,0,0,0,0,58,103,0,1,480.0
2277,3,5,32,39,3,14,19,3,25,0,0,5,2,24,2,9,2,0,12,9,0,1,350.0
2448,2,7,41,44,3,27,15,24,47,0,1,5,2,9,2,4,0,0,57,104,1,1,900.0
3706,1,4,15,54,3,35,32,71,153,0,1,0,2,0,0,9,0,0,69,77,0,1,1300.0
2210,1,3,39,31,3,36,43,0,0,0,1,5,0,9,0,9,0,0,54,97,1,1,400.0
1812,3,5,18,9,3,13,17,4,121,0,0,0,0,0,0,9,0,0,20,22,0,1,4.0
1232,2,7,27,46,1,31,20,24,47,0,1,5,2,9,0,4,0,0,65,67,1,1,400.0
966,3,5,18,24,3,1,1,1,46,0,0,0,2,0,0,9,0,0,41,43,0,1,140.0
1788,2,7,41,53,3,35,25,24,49,3,1,5,2,9,0,9,0,0,71,85,1,1,900.0
2278,0,8,33,49,3,27,21,42,50,1,1,0,2,9,0,9,0,0,43,40,1,1,400.0
3738,0,2,18,28,3,2,29,36,47,0,1,5,2,0,0,9,0,0,61,77,1,1,355.0
1322,2,7,18,32,1,14,4,24,47,0,1,5,2,9,2,9,1,0,43,52,1,1,710.0
2280,2,7,18,26,0,27,25,24,47,0,1,0,0,33,0,4,0,1,71,58,1,1,300.0
3836,3,5,4,26,3,24,19,23,122,0,1,5,2,9,2,9,0,0,17,14,0,1,250.0
3099,3,5,18,21,3,1,6,1,38,0,0,0,2,0,0,9,0,0,41,40,0,1,240.0
3319,1,3,39,30,3,59,54,0,0,0,1,5,0,9,0,9,0,0,50,129,1,1,480.0
1138,1,4,15,49,3,31,25,35,48,0,1,5,2,0,0,9,0,0,48,67,1,1,320.0
3424,3,5,9,45,3,14,20,36,75,0,1,0,2,24,0,9,0,0,42,37,0,1,180.0
2059,1,4,15,54,3,28,28,115,66,1,1,5,2,9,0,9,0,0,53,91,1,1,500.0
3185,2,7,15,10,3,13,14,29,47,0,1,5,0,23,0,9,0,0,50,41,0,1,350.0
120,2,7,18,49,3,27,21,24,47,0,1,0,2,0,0,9,0,0,63,105,1,1,560.0
2542,2,7,41,41,3,40,12,96,150,0,1,5,0,9,0,9,0,0,46,52,1,1,500.0
3548,3,5,18,24,3,2,5,1,47,0,0,5,2,0,0,9,0,0,43,45,0,1,140.0
405,0,2,18,70,1,19,46,24,47,0,1,6,2,0,0,9,0,0,68,80,0,1,270.0
994,3,5,18,25,3,1,4,1,37,0,0,0,2,0,0,9,0,0,39,36,0,1,350.0
1453,3,5,41,33,3,35,38,109,50,0,1,0,2,0,2,9,0,0,49,41,0,1,100.0
3546,0,2,18,57,3,57,57,85,50,0,1,6,0,0,0,9,0,0,78,75,1,1,880.0
2752,1,3,15,49,3,28,22,92,144,0,1,5,2,9,0,9,0,0,53,112,1,1,480.0
3294,3,5,18,22,3,2,1,1,47,0,0,0,2,0,0,9,0,0,41,43,1,1,350.0
231,1,3,15,59,3,26,33,92,144,0,1,5,2,9,0,9,0,0,53,79,1,1,243.0
456,2,6,18,46,3,21,17,25,47,0,1,5,2,23,0,9,0,0,44,61,0,1,500.0
113,2,7,35,57,3,24,31,111,50,0,1,5,2,9,0,9,0,1,56,43,1,1,1000.0
2166,1,4,15,48,3,27,20,65,101,1,1,5,2,9,0,9,0,0,60,84,1,1,700.0
2851,2,7,41,49,3,15,20,66,129,0,1,5,2,9,0,9,0,0,48,75,0,1,200.0
3642,3,5,18,24,3,3,6,1,46,0,1,0,2,0,0,9,0,0,42,43,0,1,240.0
1381,1,4,15,54,3,31,34,115,66,0,1,0,0,9,0,9,0,0,47,83,1,1,450.0
414,2,7,15,24,1,26,34,24,47,1,1,5,2,9,0,9,0,1,70,59,0,1,300.0
3604,1,3,16,51,3,19,25,1,34,0,1,5,0,9,0,10,0,0,63,111,0,1,390.0
3006,3,5,41,45,3,43,18,42,50,0,0,0,2,0,2,9,0,0,34,34,0,1,250.0
1060,0,8,33,37,3,27,27,25,47,3,1,5,2,9,0,9,0,0,27,23,0,1,1120.0
2335,3,0,9,46,3,35,32,42,50,0,0,0,2,9,0,10,0,0,33,24,1,1,300.0
1050,0,2,18,75,3,19,51,23,54,0,1,6,2,0,0,9,0,0,56,105,1,1,390.0
1282,1,4,15,49,3,28,23,38,47,1,1,5,2,0,0,9,0,0,48,67,1,1,280.0
2859,0,2,18,57,3,23,28,1,46,0,1,5,2,0,0,9,0,0,59,75,0,1,180.0
116,2,6,29,46,3,26,33,10,47,0,1,5,2,23,0,9,0,0,44,47,0,1,300.0
2937,2,7,38,48,3,11,22,24,47,0,1,5,2,9,0,9,0,0,62,86,1,1,740.0
3413,1,3,39,29,3,40,32,86,0,0,1,5,0,9,0,0,0,0,61,110,1,1,400.0
985,0,2,18,49,3,32,27,10,47,0,1,13,0,0,0,9,0,0,62,81,1,1,316.0
670,3,5,36,33,3,43,29,3,9,0,0,5,2,9,2,9,2,0,22,19,0,1,450.0
3124,3,1,15,29,3,7,17,25,35,0,1,0,2,7,2,9,0,0,43,41,0,1,250.0
2416,1,4,15,49,3,29,25,71,0,0,0,0,2,0,0,9,0,0,69,105,0,1,1100.0
3712,2,7,41,41,1,39,14,24,47,0,1,0,2,9,0,9,0,0,62,65,0,1,600.0
2049,3,0,41,19,3,39,38,24,47,0,1,5,2,0,0,9,0,0,27,22,0,1,400.0
2911,2,7,15,11,3,12,14,26,47,0,1,5,0,9,0,9,0,0,43,36,0,1,650.0
1709,2,7,18,51,3,27,23,24,85,0,1,5,2,0,0,9,0,0,55,102,1,1,720.0
1294,1,3,39,24,3,49,45,0,0,0,1,5,0,9,0,9,0,0,60,107,1,1,480.0
3201,0,8,33,49,3,29,21,42,50,0,1,5,2,9,0,9,0,0,43,51,1,1,320.0
2579,3,0,18,50,3,34,32,49,99,0,0,5,2,9,0,4,0,0,22,14,1,1,300.0
3470,3,5,18,24,3,1,11,1,47,0,0,6,2,0,0,9,0,0,40,42,0,1,240.0
3237,2,6,18,53,3,26,30,10,47,0,1,5,2,9,2,9,0,0,40,55,1,1,440.0
2453,2,7,18,16,0,27,17,24,47,0,1,0,2,15,0,4,0,0,78,91,0,1,321.0
3710,3,5,18,10,3,13,17,29,36,0,0,0,0,0,0,9,0,0,24,20,0,1,10.0
3758,2,7,9,39,3,17,11,24,47,0,1,0,2,0,0,9,0,0,80,141,1,1,560.0
474,2,6,18,43,3,23,14,4,47,0,1,5,2,23,0,9,0,0,38,45,0,1,600.0
1700,1,3,16,49,3,18,32,1,34,0,1,5,2,9,0,10,0,0,68,107,0,1,900.0
2415,2,7,21,18,1,32,22,24,47,0,1,5,2,9,0,4,0,0,63,68,1,1,80.0
831,1,3,39,66,3,30,43,0,0,0,1,5,0,9,0,0,0,0,58,107,1,1,720.0
1099,1,3,39,37,3,40,53,0,0,0,1,5,0,9,0,9,0,0,59,130,1,1,480.0
640,1,3,39,28,3,60,45,22,31,4,1,0,0,9,0,9,0,0,35,88,1,1,640.0
461,3,1,15,29,3,11,13,114,35,0,1,0,2,7,2,9,0,0,17,19,0,1,540.0
2548,3,5,41,34,3,38,49,42,50,0,0,0,1,10,0,9,0,0,7,30,0,1,160.0
1058,1,4,15,55,3,23,28,116,137,1,1,0,2,9,0,9,0,0,55,85,1,1,500.0
269,3,5,18,11,3,13,17,24,36,0,0,0,0,0,0,9,0,0,29,16,0,1,4.0
1865,3,1,15,43,2,9,20,65,129,0,0,0,2,9,2,7,0,0,27,24,0,1,880.0
1006,0,2,18,48,3,18,21,1,95,0,1,5,2,0,0,9,0,0,60,75,0,1,760.0
1475,2,7,38,44,3,51,50,24,47,0,1,5,2,9,0,9,0,0,42,84,1,1,685.0
2514,3,0,41,59,3,30,54,4,3,4,0,5,0,9,0,9,0,0,33,25,0,1,180.0
815,2,7,38,56,3,37,27,24,47,3,1,5,2,9,0,9,0,0,63,77,1,1,688.0
1416,2,7,41,45,3,42,16,24,47,0,1,5,2,0,2,4,0,0,74,112,1,1,1300.0
868,1,4,15,46,3,27,22,115,104,0,1,5,2,9,0,9,0,0,48,69,1,1,400.0
2396,3,5,41,40,3,49,24,10,23,0,1,25,2,23,0,9,0,0,15,18,1,1,500.0
854,3,5,41,38,3,40,34,98,148,0,2,0,2,17,2,9,0,0,49,40,0,1,95.0
1296,3,5,41,34,3,39,38,56,50,0,1,0,2,0,2,9,0,0,44,37,0,1,100.0
442,2,7,38,50,1,26,23,24,47,0,1,5,2,9,0,9,0,0,69,83,1,1,700.0
367,1,4,15,51,3,31,27,4,47,1,1,5,2,0,0,9,0,0,45,57,1,1,320.0
565,0,2,18,22,3,22,30,4,47,3,1,5,2,0,2,9,0,0,68,70,0,1,780.0
1517,3,5,11,28,3,29,24,1,1,0,0,0,2,24,2,9,0,0,27,19,0,1,250.0
3851,2,7,38,39,3,9,10,24,47,0,1,5,2,9,0,9,0,0,54,61,1,1,955.0
3579,1,4,15,54,2,32,31,71,150,0,0,0,2,0,0,9,0,0,69,77,0,1,1600.0
184,2,7,41,27,3,1,2,10,121,0,1,5,2,9,0,9,0,1,72,59,1,1,2250.0
221,2,7,41,43,3,24,14,24,47,0,1,5,2,0,2,4,0,0,57,92,1,1,900.0
2887,3,5,18,7,3,8,17,24,35,0,0,0,0,0,0,9,0,0,30,21,0,1,4.0
344,1,4,15,47,3,26,22,115,66,1,1,5,2,9,0,9,0,0,40,62,1,1,300.0
2893,2,7,41,48,3,30,19,24,47,0,1,5,2,9,2,9,0,0,62,72,1,1,600.0
28,1,3,25,34,3,29,45,0,0,0,1,5,0,9,0,9,0,0,53,134,1,1,480.0
2863,3,5,28,28,3,19,19,23,46,0,0,5,2,0,2,9,0,0,22,14,0,1,150.0
1574,3,5,41,39,3,41,35,96,150,0,0,0,2,0,2,9,0,0,42,41,0,1,300.0
3466,3,5,34,31,3,14,14,17,46,0,0,5,2,9,2,9,2,0,22,19,0,1,325.0
3465,2,7,10,48,1,32,22,24,47,0,1,5,2,9,0,4,0,0,64,66,0,1,80.0
2601,0,2,18,43,3,27,26,10,47,0,1,6,2,0,0,9,0,0,85,88,1,1,492.0
1130,0,2,18,51,3,20,22,1,46,0,1,5,2,0,0,9,0,0,55,71,1,1,1600.0
2557,3,5,41,55,3,39,33,98,148,0,0,0,2,0,2,9,0,0,42,35,0,1,200.0
1994,2,7,41,34,3,19,5,96,150,0,1,0,0,9,0,9,0,0,62,67,1,1,580.0
1808,0,2,18,64,3,20,39,49,77,0,1,7,0,0,0,9,0,0,88,90,1,1,440.0
759,3,5,40,27,3,30,32,27,45,0,0,5,2,0,2,9,2,0,22,19,0,1,75.0
1461,3,5,18,14,3,2,1,1,47,0,0,0,2,0,0,9,0,0,41,43,1,1,400.0
1522,2,7,15,18,1,22,22,24,47,0,1,5,2,9,0,9,0,1,64,53,1,1,300.0
3683,2,7,15,12,3,13,12,26,47,0,0,5,0,9,0,9,0,0,43,30,0,1,490.0
894,1,4,15,56,3,29,29,71,150,0,1,0,2,0,0,9,0,0,69,59,0,1,1300.0
3162,1,4,15,54,3,29,30,71,47,0,1,0,2,0,0,9,0,0,69,78,0,1,1500.0
1302,3,5,35,27,3,29,19,23,46,0,0,5,2,0,2,9,0,0,27,14,0,1,200.0
1283,3,5,32,29,3,34,31,3,9,0,0,5,2,0,2,9,0,0,22,19,0,1,225.0
2830,3,5,41,42,3,44,38,42,50,0,1,5,2,0,2,9,0,0,43,35,0,1,200.0
1585,3,5,18,6,3,43,17,4,36,0,0,0,0,0,0,9,0,0,22,22,0,1,6.0
252,1,4,15,52,3,35,27,18,37,1,1,5,2,0,0,9,0,0,47,49,1,1,240.0
1029,0,8,33,49,3,28,20,42,50,0,1,5,2,9,0,9,0,0,43,44,1,1,325.0
410,2,6,15,58,3,27,34,10,150,0,1,5,2,9,0,9,0,0,60,105,1,1,240.0
581,3,0,18,51,3,34,32,42,50,0,0,0,2,9,0,10,0,0,32,24,0,1,200.0
568,2,7,38,38,3,24,11,24,47,0,1,5,2,9,0,9,0,0,47,49,1,1,800.0
2272,1,4,15,55,3,33,33,71,37,2,0,0,2,0,0,9,0,0,69,77,0,1,1200.0
2368,1,3,25,56,3,47,41,0,0,0,1,5,0,9,0,9,0,0,65,130,0,1,400.0
3775,0,8,33,32,3,20,21,85,118,0,1,5,2,9,0,9,0,0,36,65,1,1,180.0
3496,3,0,29,44,3,55,46,21,94,0,1,6,2,9,0,9,0,0,32,25,1,1,450.0
1469,3,5,42,24,3,30,24,22,31,0,0,5,2,0,2,9,0,0,22,19,0,1,250.0
2877,2,7,9,38,0,27,30,24,47,0,1,0,2,15,0,10,0,0,77,88,0,1,790.0
1105,2,7,41,40,3,27,12,24,47,0,1,5,2,9,0,9,0,0,62,67,1,1,740.0
3500,1,3,16,51,3,19,27,1,119,0,1,5,0,9,0,4,0,0,64,126,0,1,540.0
1703,1,3,15,70,3,51,42,60,144,0,1,5,2,9,0,9,0,0,50,110,1,1,240.0
26,3,0,18,51,3,37,25,71,50,0,0,0,2,9,0,10,0,0,21,19,0,1,200.0
2334,0,2,18,51,3,18,25,1,46,0,1,5,2,0,0,9,0,0,59,72,0,1,810.0
3592,0,8,33,36,3,27,25,25,47,0,1,0,2,9,0,9,0,0,24,23,0,1,1200.0
2891,1,3,15,53,3,25,28,92,136,0,1,5,2,9,0,9,0,0,50,102,1,1,420.0
180,3,0,18,46,3,31,36,85,54,0,0,5,2,23,0,9,0,0,17,17,1,1,450.0
3120,3,5,9,19,3,21,24,10,1,0,1,0,2,9,0,9,0,0,42,37,0,1,80.0
1796,1,3,15,53,3,25,27,92,144,0,1,5,2,9,0,9,0,0,74,96,1,1,325.0
2828,3,0,9,48,3,39,37,85,94,1,0,5,2,9,0,10,0,0,25,22,0,1,450.0
927,2,6,29,44,3,22,15,10,47,0,1,5,2,23,0,9,0,0,50,51,1,1,300.0
3799,2,6,18,50,3,29,21,10,47,0,1,5,2,23,0,9,0,1,50,37,1,1,300.0
2197,1,3,16,57,3,17,29,43,34,0,1,5,0,9,0,10,0,0,65,114,0,1,680.0
2403,1,4,15,56,3,33,34,71,84,0,0,0,2,0,0,9,0,0,69,71,0,1,2000.0
3805,3,0,27,58,3,38,32,24,47,0,0,0,2,0,0,9,0,0,50,37,0,1,310.0
678,1,4,15,52,2,32,28,71,66,0,0,0,2,0,0,9,0,0,69,72,0,1,1600.0
2452,3,5,1,39,3,30,60,78,103,0,1,0,2,9,2,10,2,0,27,24,0,1,325.0
3002,2,7,27,47,1,32,21,24,47,0,1,5,2,9,0,4,0,0,64,66,0,1,50.0
1217,1,4,15,25,2,34,29,71,150,0,1,0,2,0,0,9,0,0,69,78,0,1,800.0
3097,3,5,41,42,3,44,41,95,150,0,0,0,2,0,2,9,0,0,36,28,0,1,200.0
435,0,8,33,36,3,26,25,25,47,0,1,5,2,9,0,9,0,0,32,25,0,1,1600.0
2660,3,0,38,54,3,56,49,10,95,0,0,6,2,9,0,9,0,0,46,41,0,1,120.0
2677,3,0,41,24,3,56,50,4,23,0,1,6,2,9,0,9,0,0,35,30,1,1,240.0
1952,1,4,15,57,2,33,29,71,151,0,1,0,2,0,0,9,0,0,69,78,0,1,2500.0
2503,1,3,16,49,3,17,26,1,34,0,1,5,0,9,0,4,0,0,66,129,0,1,800.0
3121,0,2,18,45,3,27,19,36,47,0,1,5,2,0,0,9,0,0,52,83,1,1,405.0
585,2,7,15,9,3,17,9,24,47,0,0,5,0,0,0,9,0,0,3,35,0,1,390.0
71,1,3,39,71,3,35,45,0,0,0,1,5,0,9,0,0,0,0,64,130,1,1,1230.0
2847,2,7,38,37,3,25,10,24,47,0,1,5,2,9,0,9,0,0,56,63,1,1,600.0
684,1,3,15,53,3,25,25,42,148,0,1,5,2,9,0,9,0,0,61,89,1,1,408.0
3386,3,5,41,45,3,47,44,98,148,0,0,0,2,0,2,9,0,0,46,37,0,1,100.0
1868,1,4,15,54,3,37,34,18,47,1,1,5,2,0,0,9,0,0,48,70,1,1,720.0
